Wall time,Step,Value
1710267810.1473677,121,0.0
1710267812.944225,122,0.0
1710267816.075594,123,0.0
1710267818.8033397,124,0.0
1710267821.5944078,125,0.0
1710267824.4379056,126,-3000.0
1710267827.5513332,127,0.0
1710267830.3044984,128,-1000.0
1710267833.02387,129,1000.0
1710267835.7325552,130,1000.0
1710267838.8830569,131,0.0
1710267841.6882489,132,-3000.0
1710267844.559121,133,0.0
1710267847.437026,134,0.0
1710267850.408583,135,0.0
1710267853.3717937,136,0.0
1710267856.1461399,137,0.0
1710267859.2172568,138,0.0
1710267862.0196497,139,-3000.0
1710267864.7677577,140,0.0
1710267867.577054,141,0.0
1710267870.6639469,142,-4000.0
1710267873.4249203,143,0.0
1710267876.2053475,144,0.0
1710267879.007804,145,0.0
1710267882.011698,146,0.0
1710267884.9240181,147,0.0
1710267887.6989384,148,0.0
1710267890.5948434,149,0.0
1710267893.6304827,150,0.0
1710267896.3968534,151,0.0
1710267899.4847925,152,0.0
1710267902.5831585,153,-2000.0
1710267905.585823,154,-2000.0
1710267908.517218,155,0.0
1710267911.3682613,156,0.0
1710267914.3984354,157,0.0
1710267917.2846873,158,0.0
1710267920.2985482,159,-1000.0
1710267923.326695,160,0.0
1710267926.6772678,161,0.0
1710267929.6638317,162,0.0
1710267932.6884565,163,0.0
1710267935.991647,164,-2000.0
1710267939.2203176,165,0.0
1710267942.3463101,166,0.0
1710267945.386113,167,-2000.0
1710267948.7879384,168,0.0
1710267951.9937336,169,-4000.0
1710267955.0896573,170,0.0
1710267958.3020759,171,0.0
1710267961.6660388,172,-3000.0
1710267964.8013039,173,0.0
1710267971.0976841,174,0.0
1710267977.8812938,175,0.0
1710267981.8249414,176,-1000.0
1710267985.7295647,177,0.0
1710267988.962449,178,0.0
1710267992.093117,179,0.0
1710267995.2093432,180,0.0
1710267998.8162355,181,0.0
1710268002.1697688,182,0.0
1710268005.5324028,183,-3000.0
1710268009.0921428,184,0.0
1710268012.3588219,185,-3000.0
1710268015.4862833,186,0.0
1710268018.732778,187,0.0
1710268022.1829836,188,0.0
1710268025.3098524,189,0.0
1710268028.6406355,190,0.0
1710268032.0391476,191,0.0
1710268035.3351028,192,0.0
1710268038.5400243,193,0.0
1710268042.3193464,194,-3000.0
1710268053.3266268,195,0.0
1710268061.9229105,196,0.0
1710268067.915282,197,-3000.0
1710268076.2151895,198,-4000.0
1710268082.4123406,199,0.0
1710268086.1839817,200,-4000.0
1710268090.1056914,201,0.0
1710268097.843435,202,-1000.0
1710268102.5502846,203,0.0
1710268105.9915369,204,0.0
1710268112.0413997,205,0.0
1710268117.3377297,206,0.0
1710268121.783573,207,0.0
1710268126.9184868,208,0.0
1710268131.5209231,209,-1000.0
1710268134.8392394,210,-39000.0
1710268138.466507,211,0.0
1710268141.6502252,212,-1000.0
1710268144.6007147,213,0.0
1710268148.2442245,214,0.0
1710268151.456595,215,0.0
1710268154.2758474,216,0.0
1710268157.3945365,217,0.0
1710268160.8938441,218,-5000.0
1710268164.2932255,219,0.0
1710268174.3218794,220,-3000.0
1710268181.7583337,221,0.0
1710268186.7602553,222,0.0
1710268190.243089,223,-5000.0
1710268193.2762818,224,-2000.0
1710268198.8692815,225,0.0
1710268203.5495164,226,0.0
1710268208.3492756,227,0.0
1710268211.913666,228,0.0
1710268215.1798167,229,0.0
