Wall time,Step,Value
1710268806.1187596,60,-18000.0
1710268806.5262475,61,-7000.0
1710268807.020862,62,-6000.0
1710268807.9811242,63,-25000.0
1710268808.1562905,64,-6000.0
1710268808.5139487,65,-7000.0
1710268809.4398222,66,-4000.0
1710268810.2841084,67,1000.0
1710268811.1464589,68,-15000.0
1710268811.4096065,69,-14000.0
1710268811.8612072,70,-3000.0
1710268812.3279674,71,-11000.0
1710268813.1897628,72,-8000.0
1710268813.6325943,73,-8000.0
1710268813.99853,74,-15000.0
1710268814.6937866,75,-4000.0
1710268815.9686131,76,-3000.0
1710268816.3948781,77,-3000.0
1710268817.0485654,78,-3000.0
1710268817.5102623,79,-18000.0
1710268818.2149582,80,-4000.0
1710268818.8490632,81,-7000.0
1710268819.301937,82,-10000.0
1710268820.1095152,83,-3000.0
1710268820.6098638,84,-4000.0
1710268820.992725,85,-3000.0
1710268821.7177582,86,-29000.0
1710268822.6780117,87,-6000.0
1710268823.2855096,88,-4000.0
1710268823.622688,89,-4000.0
1710268824.6047716,90,-3000.0
1710268825.257596,91,-12000.0
1710268826.329361,92,-3000.0
1710268826.7376068,93,-11000.0
1710268827.214078,94,-4000.0
1710268827.5637028,95,-4000.0
1710268828.2400408,96,-18000.0
1710268828.681671,97,-4000.0
1710268829.225073,98,-8000.0
1710268829.7700064,99,-4000.0
1710268830.5798829,100,-4000.0
1710268831.54094,101,-4000.0
1710268833.3072634,102,-4000.0
1710268834.8668685,103,-4000.0
1710268835.9066916,104,-4000.0
1710268837.4974253,105,-4000.0
1710268838.7398226,106,-4000.0
1710268839.5415907,107,-4000.0
1710268840.2775512,108,-5000.0
1710268841.3790195,109,-5000.0
1710268842.67332,110,-4000.0
1710268843.1509123,111,-14000.0
1710268844.0550404,112,-5000.0
1710268845.2760675,113,-9000.0
1710268846.425657,114,-9000.0
1710268847.4129157,115,-6000.0
1710268848.3641815,116,-5000.0
1710268849.1630828,117,-6000.0
1710268850.0069208,118,-7000.0
1710268852.7140532,119,-13000.0
1710268854.5485284,120,-28000.0
1710268856.6911035,121,-17000.0
1710268859.420974,122,-22000.0
1710268861.365261,123,-5000.0
1710268863.011256,124,-27000.0
1710268865.9589736,125,-9000.0
1710268868.9690378,126,0.0
1710268871.7294266,127,0.0
1710268874.6221683,128,-3000.0
1710268875.4913647,129,-2000.0
1710268878.5340457,130,0.0
1710268881.2270966,131,0.0
1710268884.093941,132,0.0
1710268886.945107,133,0.0
1710268889.882346,134,0.0
1710268892.5676975,135,0.0
1710268895.3662639,136,-2000.0
1710268898.0442626,137,0.0
1710268898.7900753,138,0.0
1710268901.8225298,139,0.0
1710268902.2712517,140,-2000.0
1710268904.956908,141,0.0
1710268907.703167,142,0.0
1710268908.1492114,143,0.0
1710268908.811278,144,0.0
1710268911.7952054,145,-1000.0
1710268914.4979067,146,-2000.0
1710268917.2051606,147,0.0
1710268919.905164,148,-4000.0
1710268921.7103355,149,0.0
1710268924.5900047,150,0.0
1710268927.312476,151,0.0
1710268930.0924802,152,0.0
1710268933.2706747,153,0.0
