Wall time,Step,Value
1710266276.7807474,0,48.78894805908203
1710266276.9503267,1,38.70115280151367
1710266277.1443782,2,28.89391326904297
1710266277.6283083,3,28.325576782226562
1710266278.8985615,4,37.5660514831543
1710266279.4262857,5,32.68337631225586
1710266280.5092895,6,34.6776008605957
1710266282.6213934,7,26.532001495361328
1710266284.9213917,8,27.92711639404297
1710266287.711591,9,62.0634880065918
1710266290.0100715,10,62.18003845214844
1710266292.2986395,11,68.08438110351562
1710266294.2957711,12,70.58126068115234
1710266296.7493632,13,70.51197052001953
1710266298.9627802,14,70.13209533691406
1710266299.8710341,15,66.43092346191406
1710266301.4475822,16,63.561851501464844
1710266303.7274587,17,70.07185363769531
1710266305.6721852,18,68.6385269165039
1710266308.7674534,19,69.06468963623047
1710266312.2346387,20,69.48223876953125
1710266314.6377625,21,70.98712158203125
1710266316.3765843,22,70.0775146484375
1710266318.7616038,23,70.97574615478516
1710266320.8458478,24,68.93839263916016
1710266322.4709408,25,69.64714813232422
1710266324.1644611,26,69.88733673095703
1710266326.0771334,27,68.04046630859375
1710266327.9233906,28,68.75486755371094
1710266331.6964638,29,71.76158905029297
1710266333.9532888,30,69.18537139892578
1710266337.8512437,31,69.07744598388672
1710266339.7796674,32,67.80673217773438
1710266342.229462,33,68.55926513671875
1710266346.4440694,34,69.58448028564453
1710266348.7493598,35,68.38127136230469
1710266350.8682818,36,68.50752258300781
1710266353.0296452,37,65.31010437011719
1710266353.9268563,38,70.22976684570312
1710266354.2918622,39,70.170166015625
1710266356.3351326,40,65.81317901611328
1710266358.6701307,41,70.15158081054688
1710266360.4953468,42,70.04673767089844
1710266362.0710762,43,68.50483703613281
1710266362.537689,44,67.87084197998047
1710266364.1425204,45,70.71199798583984
1710266365.716693,46,71.37716674804688
1710266367.3051717,47,69.25450897216797
1710266368.0848756,48,68.86582946777344
1710266370.2412431,49,68.72938537597656
1710266371.8418562,50,71.63008880615234
1710266373.3905902,51,71.3729019165039
1710266374.9451168,52,66.90323638916016
1710266375.5772874,53,68.64177703857422
1710266377.176079,54,70.401123046875
1710266378.729113,55,70.17960357666016
1710266380.7231624,56,68.56580352783203
1710266382.2792287,57,71.73391723632812
1710266383.8330257,58,69.36125183105469
1710266385.4112506,59,69.08477020263672
1710266387.0244641,60,69.28285217285156
1710266388.7091384,61,69.9811019897461
1710266390.277514,62,69.4195327758789
1710266392.4402373,63,68.3693618774414
1710266394.0595012,64,68.33185577392578
1710266395.671825,65,71.51995849609375
1710266397.2760727,66,67.82328033447266
1710266398.8450825,67,68.81716918945312
1710266400.4744096,68,72.32389068603516
1710266402.3358285,69,69.21324157714844
1710266404.101124,70,70.04495239257812
1710266405.6519253,71,70.72896575927734
1710266407.2519405,72,71.3634262084961
1710266408.886849,73,69.70027160644531
1710266409.0830345,74,69.06248474121094
1710266410.6441245,75,66.4322509765625
1710266412.5713027,76,68.34343719482422
1710266414.6573582,77,67.9939956665039
1710266416.053355,78,69.47293853759766
1710266417.8628845,79,69.4991226196289
1710266418.9971857,80,69.96468353271484
1710266420.6577828,81,67.07958221435547
1710266422.2155013,82,68.7246322631836
1710266423.7713358,83,70.17865753173828
1710266425.4939666,84,71.76387023925781
1710266426.987147,85,68.58210754394531
1710266428.4294744,86,67.08293151855469
1710266429.8752348,87,68.99891662597656
1710266431.2853346,88,69.4554443359375
1710266432.7026467,89,65.78402709960938
1710266434.1291456,90,69.88712310791016
1710266435.807049,91,71.51356506347656
1710266437.2440403,92,67.20539855957031
1710266438.7141244,93,67.19221496582031
1710266440.1199396,94,65.68896484375
1710266441.4789038,95,66.81747436523438
1710266442.9005957,96,68.91568756103516
1710266444.4614596,97,70.11967468261719
1710266445.8889928,98,67.15516662597656
1710266447.7484758,99,72.07183074951172
1710266449.2909188,100,69.1036605834961
1710266450.694903,101,66.51367950439453
1710266452.1229165,102,66.11336517333984
1710266453.672552,103,70.62337493896484
1710266455.0507205,104,65.91486358642578
1710266456.3007011,105,68.2698974609375
1710266458.028979,106,72.80082702636719
1710266459.5853813,107,67.4397201538086
1710266460.9837797,108,66.86349487304688
1710266462.4387178,109,67.38251495361328
1710266463.8779063,110,66.83062744140625
1710266465.2751732,111,71.09632873535156
1710266465.9476993,112,68.56588745117188
1710266467.3413844,113,71.84956359863281
1710266469.1530716,114,68.85770416259766
1710266470.5995183,115,67.16144561767578
1710266471.101669,116,69.08172607421875
1710266472.6294837,117,65.38027954101562
1710266474.0515835,118,65.99810791015625
1710266475.474375,119,67.76644134521484
1710266476.907057,120,68.07645416259766
1710266478.0282385,121,70.4000473022461
1710266478.1997812,122,64.88175201416016
1710266479.91192,123,70.6536865234375
1710266481.3874893,124,69.43989562988281
1710266482.7903996,125,67.56526184082031
1710266484.2174594,126,67.09913635253906
1710266485.6241603,127,67.1937484741211
1710266487.0482996,128,68.02965545654297
1710266488.4537566,129,70.46992492675781
1710266489.8549502,130,67.74261474609375
1710266491.5596452,131,68.48970794677734
1710266492.1783965,132,71.50770568847656
1710266493.6770177,133,70.8631820678711
1710266494.5373797,134,71.11820220947266
1710266495.988627,135,69.01072692871094
1710266497.4128451,136,66.94223022460938
1710266498.8241427,137,71.54920196533203
1710266500.2357197,138,68.85972595214844
1710266501.9815333,139,71.42729187011719
1710266503.3414104,140,69.09729766845703
1710266504.7328777,141,71.55599212646484
1710266506.1531427,142,70.78793334960938
1710266507.5575528,143,70.04403686523438
1710266508.9596736,144,69.97027587890625
1710266510.3866599,145,69.81454467773438
1710266511.7853005,146,69.34962463378906
1710266513.420323,147,68.02498626708984
1710266514.8238664,148,68.372802734375
1710266516.2124941,149,71.94857025146484
1710266517.5977058,150,69.2176742553711
1710266519.0307446,151,68.26972961425781
1710266520.4552126,152,69.8071060180664
1710266522.030247,153,70.58258819580078
1710266523.6641402,154,69.33860778808594
1710266525.100693,155,70.87797546386719
1710266526.5229764,156,68.09515380859375
1710266527.9353757,157,67.88591766357422
1710266529.4254158,158,72.14154815673828
1710266530.8443239,159,70.61690521240234
1710266532.24244,160,71.7965087890625
1710266533.887222,161,69.0460205078125
1710266535.5378711,162,69.08255767822266
1710266536.9647586,163,66.88865661621094
1710266537.4862435,164,67.09099578857422
1710266538.8910217,165,67.64988708496094
1710266540.2900314,166,69.57034301757812
