Wall time,Step,Value
1710266276.7807474,0,0.0
1710266276.9503267,1,0.0
1710266277.1443782,2,0.0
1710266277.6283083,3,0.0
1710266278.8985615,4,0.0
1710266279.4262857,5,0.0
1710266280.5092895,6,0.0
1710266282.6213934,7,0.0
1710266284.9213917,8,0.0
1710266287.711591,9,0.0
1710266290.0100715,10,0.0
1710266292.2986395,11,0.0
1710266294.2957711,12,0.0
1710266296.7493632,13,0.0
1710266298.9627802,14,0.0
1710266299.8710341,15,0.0
1710266301.4475822,16,0.0
1710266303.7274587,17,0.0
1710266305.6721852,18,0.0
1710266308.7684512,19,0.0
1710266312.2346387,20,0.0
1710266314.6377625,21,0.0
1710266316.3765843,22,0.0
1710266318.7616038,23,0.0
1710266320.8458478,24,0.0
1710266322.4709408,25,0.0
1710266324.1644611,26,0.0
1710266326.0771334,27,0.0
1710266327.9233906,28,0.0
1710266331.6964638,29,0.0
1710266333.9532888,30,0.0
1710266337.8512437,31,0.0
1710266339.7796674,32,0.0
1710266342.229462,33,0.0
1710266346.4440694,34,0.0
1710266348.7493598,35,0.0
1710266350.8682818,36,0.0
1710266353.0296452,37,0.0
1710266353.9268563,38,0.0
1710266354.2918622,39,0.0
1710266356.3351326,40,0.0
1710266358.6701307,41,0.0
1710266360.4953468,42,0.0
1710266362.0710762,43,0.0
1710266362.537689,44,0.0
1710266364.1425204,45,0.0
1710266365.716693,46,0.0
1710266367.3051717,47,0.0
1710266368.0848756,48,0.0
1710266370.2412431,49,0.0
1710266371.8418562,50,0.0
1710266373.3905902,51,0.0
1710266374.9451168,52,0.0
1710266375.5772874,53,0.0
1710266377.176079,54,0.0
1710266378.729113,55,0.0
1710266380.7231624,56,0.0
1710266382.2792287,57,0.0
1710266383.8330257,58,0.0
1710266385.4112506,59,0.0
1710266387.0249722,60,0.0
1710266388.7091384,61,0.0
1710266390.277514,62,0.0
1710266392.4402373,63,0.0
1710266394.0595012,64,0.0
1710266395.671825,65,0.0
1710266397.2760727,66,0.0
1710266398.8450825,67,0.0
1710266400.4744096,68,0.0
1710266402.3358285,69,0.0
1710266404.101124,70,0.0
1710266405.6519253,71,0.0
1710266407.2519405,72,0.0
1710266408.886849,73,0.0
1710266409.0830345,74,0.0
1710266410.6441245,75,0.0
1710266412.5713027,76,0.0
1710266414.6573582,77,0.0
1710266416.053355,78,0.0
1710266417.8628845,79,0.0
1710266418.9971857,80,0.0
1710266420.6577828,81,0.0
1710266422.2155013,82,0.0
1710266423.7713358,83,0.0
1710266425.4939666,84,0.0
1710266426.987147,85,0.0
1710266428.4294744,86,0.0
1710266429.8752348,87,0.0
1710266431.2853346,88,0.0
1710266432.7026467,89,0.0
1710266434.1291456,90,0.0
1710266435.807049,91,0.0
1710266437.2440403,92,0.0
1710266438.7141244,93,0.0
1710266440.1199396,94,0.0
