Wall time,Step,Value
1710268904.956908,141,121.0
1710268907.703167,142,121.0
1710268908.1492114,143,121.0
1710268908.811278,144,121.0
1710268911.7952054,145,121.0
1710268914.4979067,146,121.0
1710268917.2051606,147,121.0
1710268919.905164,148,121.0
1710268921.7103355,149,121.0
1710268924.5900047,150,121.0
1710268927.312476,151,121.0
1710268930.0924802,152,121.0
1710268933.2706747,153,121.0
1710268935.9999883,154,121.0
1710268938.802435,155,121.0
1710268941.5200627,156,121.0
1710268944.4703698,157,121.0
1710268947.2190225,158,121.0
1710268949.9263527,159,121.0
1710268952.6280117,160,121.0
1710268955.708938,161,121.0
1710268958.408437,162,121.0
1710268961.2322514,163,121.0
1710268961.8891172,164,121.0
1710268962.4229438,165,121.0
1710268963.1913834,166,121.0
1710268963.59926,167,121.0
1710268964.060073,168,121.0
1710268967.0720582,169,121.0
1710268967.4096777,170,121.0
1710268967.9443758,171,121.0
1710268970.6332676,172,121.0
1710268973.4765658,173,121.0
1710268976.2242603,174,121.0
1710268979.1738157,175,121.0
1710268981.9177518,176,121.0
1710268985.027005,177,121.0
1710268988.3823907,178,121.0
1710268991.1221921,179,121.0
1710268993.8065982,180,121.0
1710268996.5439708,181,121.0
1710268999.493252,182,121.0
1710269002.4559867,183,121.0
1710269002.9541097,184,121.0
1710269005.728016,185,121.0
1710269008.406524,186,121.0
1710269011.4312153,187,121.0
1710269011.8381975,188,121.0
1710269012.1423364,189,121.0
1710269012.6643298,190,121.0
1710269013.5905857,191,121.0
1710269016.3102043,192,121.0
1710269017.0782287,193,121.0
1710269017.4353282,194,121.0
1710269017.8523703,195,121.0
1710269018.3573859,196,121.0
1710269021.291009,197,121.0
1710269021.6802106,198,121.0
1710269024.3280087,199,121.0
1710269024.8147228,200,121.0
1710269027.580145,201,121.0
1710269028.0867474,202,121.0
1710269028.467978,203,121.0
1710269028.727308,204,121.0
1710269031.6156187,205,121.0
1710269032.019442,206,121.0
1710269034.7339723,207,121.0
1710269037.4860027,208,121.0
1710269040.207988,209,121.0
1710269043.1493294,210,121.0
1710269043.5903437,211,121.0
1710269046.4562407,212,121.0
1710269049.27533,213,121.0
1710269049.7770762,214,121.0
1710269052.4881477,215,121.0
1710269053.2963405,216,121.0
1710269053.779202,217,121.0
1710269056.456903,218,121.0
1710269056.868768,219,121.0
1710269057.3286922,220,121.0
1710269057.6148815,221,121.0
1710269060.2770674,222,121.0
1710269060.79514,223,121.0
1710269063.4710357,224,121.0
1710269063.8910403,225,121.0
1710269066.8499126,226,121.0
1710269069.5597947,227,121.0
1710269072.76161,228,121.0
1710269075.65391,229,121.0
1710269078.4395778,230,121.0
1710269081.084484,231,121.0
1710269083.6932766,232,121.0
1710269086.5291507,233,121.0
1710269089.3194854,234,121.0
1710269091.9619434,235,121.0
1710269094.647003,236,121.0
1710269097.46685,237,121.0
1710269100.1688814,238,121.0
1710269102.8957682,239,121.0
1710269105.5773892,240,121.0
1710269108.4028835,241,121.0
1710269111.0387456,242,121.0
1710269113.647526,243,121.0
1710269116.2680562,244,121.0
1710269119.0242875,245,121.0
1710269121.8466246,246,121.0
1710269124.4093547,247,121.0
1710269127.07668,248,121.0
1710269129.745456,249,121.0
1710269132.492784,250,121.0
1710269135.1116462,251,121.0
1710269137.7705777,252,121.0
1710269140.3861084,253,121.0
1710269143.243627,254,121.0
1710269145.8407335,255,121.0
1710269148.4414904,256,121.0
1710269151.1445642,257,121.0
1710269154.1379602,258,121.0
1710269156.782471,259,121.0
1710269159.4693987,260,121.0
1710269162.1759436,261,121.0
1710269164.9846947,262,121.0
1710269167.5982895,263,121.0
1710269170.1987443,264,121.0
1710269172.888837,265,121.0
1710269175.7849703,266,121.0
1710269178.5552764,267,121.0
1710269181.549701,268,121.0
1710269184.2052019,269,121.0
1710269187.0225015,270,121.0
1710269189.6377082,271,121.0
1710269192.3151941,272,121.0
1710269194.938568,273,121.0
1710269197.787829,274,121.0
1710269200.3926892,275,121.0
1710269203.0129313,276,121.0
1710269205.6182647,277,121.0
1710269208.455549,278,121.0
1710269208.9377747,279,121.0
1710269209.4028213,280,121.0
1710269212.0415416,281,121.0
1710269212.4359071,282,121.0
1710269212.9696505,283,121.0
1710269213.3709192,284,121.0
1710269213.7996833,285,121.0
1710269214.838894,286,121.0
1710269216.063511,287,121.0
1710269216.6728654,288,121.0
1710269218.1428125,289,121.0
1710269219.4075923,290,121.0
1710269222.0360272,291,121.0
1710269224.6689548,292,121.0
1710269227.3605952,293,121.0
1710269230.2447653,294,121.0
1710269233.075886,295,121.0
1710269235.7457633,296,121.0
1710269238.3577476,297,121.0
1710269241.3391354,298,121.0
1710269244.0968347,299,121.0
